epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5194.58,1.27147,0.76643,1.39061,0.84979,0.88066,0.90798,0.54523,1.426,0.71412,1.65494,0.000462281,0.000462281,0.000462281
43,5318.08,1.24851,0.73337,1.37331,0.87842,0.87114,0.91807,0.55117,1.43775,0.67841,1.65717,0.000438703,0.000438703,0.000438703
44,5441.17,1.28185,0.76548,1.39563,0.87817,0.87531,0.92012,0.54708,1.44238,0.66911,1.66502,0.000415124,0.000415124,0.000415124
45,5564.1,1.25233,0.74092,1.38635,0.87569,0.89101,0.92475,0.54745,1.43006,0.66287,1.64646,0.000391546,0.000391546,0.000391546
46,5687.76,1.2436,0.74004,1.36395,0.87631,0.88385,0.9248,0.55128,1.43282,0.67311,1.65635,0.000367967,0.000367967,0.000367967
47,5811.11,1.2446,0.72002,1.37083,0.87167,0.88634,0.932,0.554,1.42643,0.66863,1.65346,0.000344389,0.000344389,0.000344389
48,5934.61,1.22902,0.69643,1.36154,0.88562,0.88451,0.92543,0.55054,1.43867,0.67618,1.66896,0.00032081,0.00032081,0.00032081
49,6057.69,1.21985,0.69365,1.36052,0.88179,0.87725,0.92547,0.55255,1.44109,0.6726,1.66603,0.000297232,0.000297232,0.000297232
50,6180.87,1.22013,0.69483,1.3588,0.87003,0.88431,0.92214,0.54874,1.4567,0.66758,1.69077,0.000273654,0.000273654,0.000273654
51,6322.16,1.1843,0.56782,1.42902,0.88465,0.87603,0.9235,0.55332,1.44616,0.66406,1.66837,0.000250075,0.000250075,0.000250075
52,6445.41,1.1635,0.54611,1.42008,0.89394,0.88601,0.92842,0.55124,1.46225,0.65018,1.68833,0.000226497,0.000226497,0.000226497
53,6569,1.15255,0.5356,1.40031,0.87874,0.87875,0.91779,0.54891,1.47014,0.65493,1.7006,0.000202918,0.000202918,0.000202918
54,6692.51,1.13699,0.52853,1.40128,0.89689,0.87544,0.92608,0.55527,1.45384,0.63214,1.68523,0.00017934,0.00017934,0.00017934
55,6816.24,1.12326,0.5126,1.38386,0.88419,0.87404,0.91832,0.54548,1.46538,0.63804,1.70177,0.000155761,0.000155761,0.000155761
56,6939.55,1.11459,0.5022,1.38655,0.89143,0.87688,0.91709,0.54699,1.47318,0.64634,1.71122,0.000132183,0.000132183,0.000132183
57,7063.18,1.09201,0.48891,1.35914,0.88605,0.87115,0.91987,0.54714,1.46557,0.64602,1.70367,0.000108604,0.000108604,0.000108604
58,7186.2,1.08122,0.48687,1.35673,0.87941,0.88937,0.91985,0.54258,1.49363,0.63684,1.73796,8.50255e-05,8.50255e-05,8.50255e-05
59,7309.47,1.06553,0.47182,1.35081,0.88953,0.88208,0.92543,0.55038,1.48353,0.64057,1.72805,6.1447e-05,6.1447e-05,6.1447e-05
60,7433.08,1.06145,0.46769,1.33688,0.89528,0.88094,0.92474,0.54999,1.48594,0.63968,1.73713,3.78685e-05,3.78685e-05,3.78685e-05
